timestamp,log_type,message
3252.46,Log,New State: Finished
3252.46,Log,Correct
3252.46,Log,GAMEBOARD SET TO: PARTTWOFINISH
3253.469,Log,Preparing trial number: 34
3253.469,Log,New State: Preparation
3253.469,Log,GAMEBOARD SET TO: PREPARATION
3253.469,Log,Destroying targets
3253.469,Log,Creating targets
3254.35,Log,New State: Waiting
3254.694,Log,New State: Started
3254.694,Log,GAMEBOARD SET TO: PARTONESTART
3255.01,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3255.5,Log,GAMEBOARD SET TO: PARTONEFINISH
3256.038,Log,New State: MiddleStarted
3256.038,Log,GAMEBOARD SET TO: PARTTWOSTART
3256.1,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3256.61,Log,New State: Finished
3256.61,Log,Correct
3256.61,Log,GAMEBOARD SET TO: PARTTWOFINISH
3257.611,Log,Preparing trial number: 35
3257.611,Log,New State: Preparation
3257.611,Log,GAMEBOARD SET TO: PREPARATION
3257.611,Log,Destroying targets
3257.611,Log,Creating targets
3258.49,Log,New State: Waiting
3258.941,Log,New State: Started
3258.941,Log,GAMEBOARD SET TO: PARTONESTART
3259.27,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3259.777,Log,New State: Finished
3259.777,Log,Failed: TimeoutStartMoved object: VisualPointer
3259.777,Log,GAMEBOARD SET TO: PARTTWOFINISH
3260.778,Log,Preparing trial number: 36
3260.778,Log,New State: Preparation
3260.778,Log,GAMEBOARD SET TO: PREPARATION
3260.778,Log,Destroying targets
3260.778,Log,Creating targets
3261.58,Log,New State: Waiting
3261.968,Log,New State: Started
3261.968,Log,GAMEBOARD SET TO: PARTONESTART
3262.5,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3263.001,Log,New State: Finished
3263.001,Log,Failed: TimeoutStartMoved object: VisualPointer
3263.001,Log,GAMEBOARD SET TO: PARTTWOFINISH
3264,Log,Preparing trial number: 37
3264,Log,New State: Preparation
3264,Log,GAMEBOARD SET TO: PREPARATION
3264,Log,Destroying targets
3264,Log,Creating targets
3264.65,Log,New State: Waiting
3265.175,Log,New State: Started
3265.175,Log,GAMEBOARD SET TO: PARTONESTART
3265.69,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3266.191,Log,New State: Finished
3266.191,Log,Failed: TimeoutStartMoved object: VisualPointer
3266.191,Log,GAMEBOARD SET TO: PARTTWOFINISH
3267.194,Log,Preparing trial number: 38
3267.194,Log,New State: Preparation
3267.194,Log,GAMEBOARD SET TO: PREPARATION
3267.194,Log,Destroying targets
3267.194,Log,Creating targets
3271.92,Log,New State: Waiting
3272.492,Log,New State: Started
3272.492,Log,GAMEBOARD SET TO: PARTONESTART
3272.85,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3273.357,Log,New State: Finished
3273.357,Log,Failed: TimeoutStartMoved object: VisualPointer
3273.357,Log,GAMEBOARD SET TO: PARTTWOFINISH
3274.351,Log,Preparing trial number: 39
3274.351,Log,New State: Preparation
3274.351,Log,GAMEBOARD SET TO: PREPARATION
3274.351,Log,Destroying targets
3274.351,Log,Creating targets
3275.74,Log,New State: Waiting
3276.182,Log,New State: Started
3276.182,Log,GAMEBOARD SET TO: PARTONESTART
3276.41,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3276.81,Log,GAMEBOARD SET TO: PARTONEFINISH
3277.38,Log,New State: MiddleStarted
3277.38,Log,GAMEBOARD SET TO: PARTTWOSTART
3277.73,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3278.12,Log,New State: Finished
3278.12,Log,Incorrect
3278.12,Log,GAMEBOARD SET TO: PARTTWOFINISH
3279.123,Log,Preparing trial number: 40
3279.123,Log,New State: Preparation
3279.123,Log,GAMEBOARD SET TO: PREPARATION
3279.123,Log,Destroying targets
3279.123,Log,Creating targets
3280.73,Log,New State: Waiting
3281.142,Log,New State: Started
3281.142,Log,GAMEBOARD SET TO: PARTONESTART
